HBOHD亚洲,qtcloud://663
HBO亚洲,sop://p2p.52itv.cn:80/12041$P2P高清
HBO高清亚洲,sop://p2p.52itv.cn:80/100010$P2P高清#qtcloud://664
HBO原创巨献,sop://p2p.52itv.cn:80/100007$P2P高清#qtcloud://665
HBO强档巨献,sop://p2p.52itv.cn:80/100008$P2P高清#qtcloud://666
HBO温馨家庭,sop://p2p.52itv.cn:80/100009$P2P高清#qtcloud://667
翡翠台,sop://p2p.52itv.cn:80/100014$P2P高清
明珠台,sop://p2p.52itv.cn:80/100013$P2P高清
J2台,sop://p2p.52itv.cn:80/100017$P2P高清
龙翔电影,sop://p2p.52itv.cn:80/100003$P2P高清
卫视电影HK,sop://p2p.52itv.cn:80/754$P2P高清
卫视电影TW,sop://p2p.52itv.cn:80/100004$P2P高清
卫视音乐,sop://p2p.52itv.cn:80/12046$P2P高清
星空卫视,sop://p2p.52itv.cn:80/791$P2P高清
东森电影,sop://p2p.52itv.cn:80/100005$P2P高清
东森洋片,sop://p2p.52itv.cn:80/100006$P2P高清
凤凰中文,http://117.169.124.37:6610/ysten-businessmobile/live/fhchinese/1.m3u8$移动高清#sop://p2p.52itv.cn:80/100011$P2P高清#http://223.110.241.131:6610/cntv/live1/HD-2500k-1080P-fhchinese/HD-2500k-1080P-fhchinese#http://112.50.243.8/PLTV/88888888/224/3221225900/1.m3u8
凤凰资讯,http://117.169.124.37:6610/ysten-businessmobile/live/fhzixun/1.m3u8$移动高清#http://112.50.243.8/PLTV/88888888/224/3221225901/1.m3u8#http://223.110.241.131:6610/cntv/live1/HD-2500k-1080P-fhzixun/HD-2500k-1080P-fhzixun#http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8
凤凰香港 HD,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8#http://183.207.249.34/PLTV/3/224/3221226975/index.m3u8
香港卫视,http://cctvalih5ca.v.myalicdn.com/cstv/xianggangweishi_2/index.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8,cntv-xianggangweishi

澳亚卫视,sop://p2p.52itv.cn:80/100016$P2P高清#http://stream.mastvnet.com/MASTV/sd/live.m3u8
MTV,sop://p2p.52itv.cn:80/100015$P2P高清
中华财经台,sop://p2p.cibn.cc:80/753
SMART,sop://p2p.cibn.cc:80/13042
BOOM卡通,sop://p2p.cibn.cc:80/10200
国家地理,sop://127.0.0.1:3912/943
法国时装,sop://p2p.cibn.cc:80/10244
